Id,Label,Hue_Name,Temperature,Start_year,End_year
300,Cosmic Cobalt,blue (web color)=ultramarine,Cold,1889,1890
301,Yellow,yellow (web color)=lemon yellow,Warm,1889,1889
302,Cg Blue,cerulean blue,Cold,1889,1889
303,Dark Salmon,vermilion,Warm,1889,1889
304,Verdigris,"turquoise blue, cyan (web color)",Cold,1889,1889
305,Fulvous,orange,Warm,1889,1889
306,Spring Green,emerald green,Cold,1890,1890
307,Medium Sea,emerald green,Cold,1890,1890
308,Denim Blue,"blue, cobalt blue",Cold,1890,1890
309,Carmine,carmine,Warm,1890,1890
310,Forest Green,green,Cold,1890,1890
311,International Orange,vermilion,Warm,1890,1890
312,Plump Purple,hyacinth,Cold,1890,1890
313,Denim,azure,Cold,1890,1890
314,Ferrari Red,vermilion,Warm,1890,1890
315,Egyptian Blue,"blue, cobalt blue",Cold,1890,1890
316,Pumpkin,orange,Warm,1890,1890
